tempo= 226
0.0 ^ZY@1*(%
0.5 @(
1.0 %
1.25 @(
2.0 @1(%
2.75 @(
3.0 %
3.5 Y@(
3.75 u30
4.0 Y@1(%
4.5 @(
5.0 %
5.25 @(
6.0 310%
6.75 u30
7.0 %
8.0 ZY@1(%
8.5 @(
9.0 %
9.25 @(
10.0 @1(%
10.5 @(
10.75 @(
11.0 %
11.5 Y@(
11.75 u30
12.0 Y@1(%
12.5 @(
13.0 %
13.25 @(
13.5 Y@(
13.75 u30
14.0 ^Y@3(%
14.25 @1(
14.5 1%
14.75 @3*(
15.0 1%
15.25 1
15.5 ^3%
15.75 1
16.0 ^ZYJ@1*(%
16.5 @3(%
17.0 1%
17.25 @1(
17.5 3%
18.0 @1(%
18.25 1
18.5 3%
18.75 @1(
19.0 %
19.25 1
19.5 Y@3(%
19.75 u310
20.0 Y@1(%
20.5 @3(%
21.0 1%
21.25 @1(
21.5 3%
22.0 k310%
22.25 1
22.5 3%
22.75 u310
23.0 %
23.25 1
23.5 3%
23.75 1
24.0 ZYJ@1(%
24.5 @3(%
25.0 1%
25.25 @1(
25.5 3%
26.0 @1(%
26.25 1
26.5 @3(%
26.75 @1(
27.0 %
27.25 1
27.5 Y@3(%
27.75 u310
28.0 Y@1(%
28.5 @3(%
29.0 1%
29.25 @1(
29.5 y932%
29.75 Y@(
30.0 zyj921%
30.25 921
30.5 3%
30.75 1
31.0 y92%
31.25 921
31.5 3%
31.75 1
32.0 ^ZYJE@1*(%
32.5 E@3(%
33.0 1%
33.25 E@1(
33.5 3%
34.0 E@1(%
34.25 1
34.5 3%
34.75 E@1(
35.0 %
35.25 1
35.5 YE@3(%
35.75 ur310
36.0 YE@1(%
36.5 E@3(%
37.0 1%
37.25 E@1(
37.5 3%
38.0 rk310%
38.25 1
38.5 3%
38.75 ur310
39.0 %
39.25 1
39.5 3%
39.75 1
40.0 ZYJE@1(%
40.5 E@3(%
41.0 1%
41.25 E@1(
41.5 3%
42.0 E@1(%
42.25 1
42.5 E@3(%
42.75 E@1(
43.0 %
43.25 1
43.5 YE@3(%
43.75 ur310
44.0 YE@1(%
44.5 E@3(%
45.0 1%
45.25 E@1(
45.5 ye932%
45.75 YE@(
46.0 zyje921%
46.25 921
46.5 3%
46.75 1
47.0 ye92%
47.25 921
47.5 3%
47.75 1
48.0 ^ZYJE@1*(%
48.5 E@3(%
49.0 y1%
49.25 E@1(
49.5 3%
50.0 rE@1(%
50.25 1
50.5 3%
50.75 E@1(
51.0 E%
51.25 1
51.5 YE@3(%
51.75 ur310
52.0 YE@1(%
52.5 E@3(%
53.0 y1%
53.25 E@1(
53.5 3%
54.0 rk310%
54.25 1
54.5 3%
54.75 ur310
55.0 E%
55.25 1
55.5 3%
55.75 1
56.0 ZYWJE@1(%
56.5 E@3(%
57.0 w1%
57.25 E@1(
57.5 3%
58.0 E@1(%
58.25 1
58.5 E@3(%
58.75 E@1(
59.0 %
59.25 1
59.5 YE@3(%
59.75 ur310
60.0 YE@1(%
60.5 E@3(%
61.0 1%
61.25 E@1(
61.5 ye932%
61.75 YE@(
62.0 zyje921%
62.25 921
62.5 3%
62.75 1
63.0 ye92%
63.25 921
63.5 3%
63.75 1
64.0 ^ZYJE@1*(%
64.5 E@3(%
65.0 y1%
65.25 E@1(
65.5 3%
66.0 rE@1(%
66.25 1
66.5 3%
66.75 E@1(
67.0 E%
67.25 1
67.5 YE@3(%
67.75 ur310
68.0 YE@1(%
68.5 E@3(%
69.0 y1%
69.25 E@1(
69.5 3%
70.0 rk310%
70.25 1
70.5 3%
70.75 ur310
71.0 u%
71.25 1
71.5 3%
71.75 1
72.0 ZYJE@1(%
72.5 E@3(%
73.0 1%
73.25 E@1(
73.5 3%
74.0 E@1(%
74.25 1
74.5 E@3(%
74.75 E@1(
75.0 %
75.25 1
75.5 YE@3(%
75.75 ur310
76.0 YE@1(%
76.5 E@3(%
77.0 1%
77.25 E@1(
77.5 ye932%
77.75 YE@(
